GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.repository.impl,MedicalRecordRepositoryImpl,85,208,5,9,27,58,5,12,0,10
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.repository.impl,FireStationRepositoryImpl,83,209,5,9,26,55,5,12,0,10
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.repository.impl,PersonRepositoryImpl,85,229,5,9,27,56,5,12,0,10
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.controller,MedicalRecordController,6,191,1,1,1,53,1,8,0,8
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.controller,PersonController,81,344,2,2,23,80,2,15,0,15
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.controller,FireStationController,5,172,1,1,1,50,1,7,0,7
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.reader,ReadDataFromJson,12,106,1,1,4,20,1,8,0,8
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.service.impl,MedicalRecordServiceImpl,47,230,1,1,11,69,1,7,0,7
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.service.impl,FireStationServiceImpl,45,234,1,1,10,66,1,7,0,7
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.service.impl,PersonServiceImpl,195,1558,65,139,54,338,63,56,0,17
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.writer,WriteDataToJson,13,8,2,0,5,2,2,1,1,1
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.service.startup,DataService,7,31,0,0,3,9,0,3,0,3
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.dto,DataDTO,0,9,0,0,0,3,0,3,0,3
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.model,FireStation,6,0,0,0,3,0,1,0,1,0
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.model,Person,0,9,0,0,0,4,0,1,0,1
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts.model,MedicalRecord,0,9,0,0,0,4,0,1,0,1
SafetyNetAlerts,com.openclassrooms.SafetyNetAlerts,SafetyNetAlertsApplication,5,3,0,0,2,1,1,1,1,1
